#OG_name,Actinidia_deliciosa,Actinidia_arguta,Actinidia_zhejiangensis,Coffea_arabica,Arabidopsis_thaliana,Actinidia_chinensis,Actinidia_eriantha,Actinidia_rufa,Actinidia_hemsleyana,Vitis_vinifera,Rhododendron_simsii,Cycas_panzhihuaensis
OG_9888,8,9,3,36,1,2,1,1,1,1,1,1
OG_9897,12,16,6,5,1,3,3,2,2,1,3,2
OG_9898,10,11,8,2,1,7,3,2,3,1,2,2
OG_9899,21,24,9,2,7,4,6,4,6,3,1,1
OG_9905,10,10,4,2,1,2,2,1,2,1,1,2
OG_9906,8,8,9,2,4,3,4,2,2,1,1,1
OG_9909,12,9,9,3,1,5,3,2,3,1,2,2
OG_9912,15,25,8,3,7,7,11,5,4,6,2,3
OG_9923,6,6,2,3,1,1,1,3,1,1,3,1
OG_9924,28,5,9,2,13,6,8,6,3,2,2,1
OG_9933,26,8,6,2,4,13,2,6,6,1,1,1
OG_9934,8,9,4,7,2,2,3,2,2,1,1,1
OG_9935,11,6,5,4,1,4,3,1,1,1,2,2
OG_9936,14,10,5,4,1,3,3,2,2,2,1,1
OG_9942,16,13,13,5,10,13,4,7,2,1,1,1
OG_9946,10,9,4,10,3,4,2,5,1,2,2,3
OG_9949,28,13,9,5,2,3,2,4,6,2,3,6
OG_9951,26,28,13,10,4,7,6,8,8,2,2,1
OG_9956,14,6,6,2,3,3,2,2,2,1,1,2
OG_9957,35,38,23,11,4,10,9,7,7,4,5,8
OG_9962,13,9,6,1,11,4,4,4,4,2,3,6
OG_9964,12,8,5,2,1,4,4,3,1,1,3,2
OG_9969,29,8,8,1,1,6,9,6,3,1,1,3
OG_9970,9,5,7,9,1,4,2,3,3,1,1,1
OG_9975,6,4,3,6,5,2,1,3,1,15,3,3
OG_9978,61,45,23,17,9,12,12,18,15,8,10,2
OG_9981,19,12,8,2,8,9,9,2,4,2,3,1
OG_9987,31,40,6,5,9,8,12,7,10,8,2,1
OG_9991,6,6,4,4,1,1,2,2,1,2,4,1
OG_10001,12,10,4,3,1,3,4,2,2,1,1,1
OG_10002,12,7,3,3,1,3,3,2,1,1,1,2
OG_10005,24,23,10,6,4,8,3,5,5,6,1,2
OG_10011,10,18,5,1,1,3,3,1,5,2,2,3
OG_10015,16,21,5,3,3,5,8,3,1,8,1,1
OG_10016,21,22,9,2,7,6,8,7,4,2,4,1
OG_10017,19,21,13,4,4,5,5,6,3,1,1,2
OG_10020,6,8,4,1,1,1,2,1,2,1,2,1
OG_10021,20,13,9,4,4,14,8,4,7,2,1,1
OG_10028,12,28,3,4,3,3,2,2,1,1,2,2
OG_10029,11,21,13,3,7,2,4,6,6,1,1,1
OG_10034,17,10,5,4,1,3,3,3,3,2,4,4
OG_10035,12,12,6,2,1,3,4,1,3,2,3,1
OG_10037,7,6,4,2,5,1,2,1,2,1,3,1
OG_10048,22,17,11,2,3,6,7,5,3,4,7,2
